datum,D STOF AT,SVI 5,SVI 10,SVI 15,SVI 20,SVI 25,SVI 30
28-Jun,5800,96.1038961,72.72727273,62.33766234,57.14285714,54.54545455,51.94805195
1-Jul,5000,103.7549407,79.0513834,66.69960474,61.75889328,56.81818182,54.34782609
5-Jul,4800,87.71929825,73.0994152,63.35282651,58.47953216,56.04288499,51.16959064
8-Jul,5100,80.76923077,57.69230769,53.84615385,46.15384615,42.30769231,38.46153846
7/12/2016,4600,94.20289855,72.46376812,57.97101449,53.14009662,50.72463768,48.30917874
7/15/2016,4500,85.10638298,63.82978723,53.19148936,48.93617021,42.55319149,42.55319149
7/18/2016,4600,106.1946903,82.59587021,70.79646018,67.84660767,58.99705015,56.04719764
7/22/2016,4100,80.68459658,63.56968215,53.78973105,48.8997555,46.45476773,44.00977995
7/26/2016,4100,74.07407407,55.55555556,43.98148148,41.66666667,39.35185185,39.35185185
29-Jul,3700,74.28571429,57.14285714,48.57142857,45.71428571,42.85714286,40
8/1/2016,3700,68.87755102,56.12244898,45.91836735,43.36734694,40.81632653,40.81632653
8/5/2016,4000,72.72727273,57.14285714,49.35064935,44.15584416,41.55844156,41.55844156
8/9/2016,4200,58.33333333,50,45.83333333,41.66666667,37.5,33.33333333
8/12/2016,5300,34.92063492,28.57142857,25.3968254,23.80952381,23.80952381,22.22222222
16-Aug,4800,44.17670683,36.14457831,30.12048193,30.12048193,30.12048193,30.12048193
8/19/2016,5100,53.33333333,48.88888889,44.44444444,40,35.55555556,35.55555556
8/22/2016,4500,42.85714286,39.28571429,35.71428571,32.14285714,30.35714286,28.57142857
8/26/2016,4200,37.28813559,35.59322034,33.89830508,30.50847458,28.81355932,27.11864407
8/29/2016,6000,40,36.36363636,32.72727273,30.90909091,29.09090909,27.27272727
9/2/2016,6000,42.55319149,38.29787234,38.29787234,34.04255319,31.91489362,31.91489362
9/5/2016,4600,43.95604396,39.56043956,37.36263736,35.16483516,32.96703297,30.76923077
9/9/2016,4400,62.5,45,37.5,32.5,30,27.5
9/12/2016,4100,78.87323944,53.52112676,47.88732394,39.43661972,36.61971831,33.8028169
9/16/2016,5600,51.78571429,39.28571429,33.92857143,30.35714286,26.78571429,25
19-Sep,4570,56.89277899,43.76367615,37.19912473,32.82275711,30.6345733,28.4463895
9/23/2016,6000,55.55555556,42.59259259,37.03703704,33.33333333,29.62962963,27.77777778
9/27/2016,6300,68.62745098,50.98039216,43.1372549,39.21568627,35.29411765,32.35294118
9/30/2016,4200,79.57559682,55.70291777,47.74535809,42.4403183,38.46153846,34.48275862
10/3/2016,4200,79.18552036,62.21719457,53.16742081,47.51131222,42.98642534,38.46153846
10/7/2016,4900,73.86363636,56.81818182,49.24242424,44.50757576,39.77272727,36.93181818
10/11/2016,4900,69.58250497,54.67196819,46.71968191,41.74950298,37.77335984,33.7972167
10/14/2016,6600,83.58662614,60.79027356,54.7112462,49.39209726,45.59270517,42.55319149
10/17/2016,5400,97.00176367,70.54673721,63.49206349,57.31922399,52.91005291,49.38271605
10/20/2016,6000,85.22727273,68.18181818,56.81818182,52.55681818,48.29545455,45.45454545
10/25/2016,6200,72.20216606,54.15162455,46.93140794,41.51624549,37.90613718,36.10108303
10/28/2016,6000,96.57947686,68.41046278,60.36217304,52.3138833,48.28973843,44.26559356
10/31/2016,4600,70.39711191,55.9566787,50.54151625,45.12635379,42.41877256,39.71119134
11/4/2016,5800,75,67.85714286,62.5,53.57142857,50,47.32142857
11/8/2016,6200,87.85046729,69.1588785,61.68224299,54.20560748,49.53271028,44.85981308
11/11/2016,5400,92.76437848,66.7903525,57.51391466,53.80333952,49.16512059,44.52690167
11/14/2016,5400,96.28008753,72.21006565,64.55142232,56.89277899,50.32822757,45.95185996
11/18/2016,6200,73.07692308,51.92307692,44.23076923,40.38461538,38.46153846,37.5
11/21/2016,6000,66.26506024,47.18875502,40.16064257,34.13654618,31.12449799,26.10441767
11/25/2016,4200,47.05882353,33.33333333,31.37254902,25.49019608,23.52941176,22.54901961
11/29/2016,4100,40.07285974,29.143898,21.8579235,20.03642987,19.12568306,18.21493625
12/6/2016,3900,53.65853659,34.14634146,32.19512195,30.24390244,29.26829268,28.7804878
